2024-10-16 at 14:06 | INFO | Бот остановлен.
2024-10-16 at 14:06 | INFO | Бот успешно запущен.
2024-10-16 at 14:14 | INFO | Бот остановлен.
2024-10-16 at 18:58 | INFO | Добавление записи Student с параметрами: {'user_id': <built-in function id>, 'group': 'ЭФБО-07-23'}
2024-10-16 at 18:58 | ERROR | Ошибка при добавлении записи: (sqlalchemy.dialects.postgresql.asyncpg.Error) <class 'asyncpg.exceptions.DataError'>: invalid input for query argument $1: <built-in function id> ('builtin_function_or_method' object cannot be interpreted as an integer)
[SQL: INSERT INTO students (user_id, "group") VALUES ($1::INTEGER, $2::VARCHAR) RETURNING students.created_at, students.updated_at]
[parameters: (<built-in function id>, 'ЭФБО-07-23')]
(Background on this error at: https://sqlalche.me/e/20/dbapi)
2024-10-16 at 19:03 | INFO | Добавление записи Student с параметрами: {'user_id': <built-in function id>, 'group': 'ЭФБО-07-23'}
2024-10-16 at 19:03 | ERROR | Ошибка при добавлении записи: (sqlalchemy.dialects.postgresql.asyncpg.Error) <class 'asyncpg.exceptions.DataError'>: invalid input for query argument $1: <built-in function id> ('builtin_function_or_method' object cannot be interpreted as an integer)
[SQL: INSERT INTO students (user_id, "group") VALUES ($1::INTEGER, $2::VARCHAR) RETURNING students.created_at, students.updated_at]
[parameters: (<built-in function id>, 'ЭФБО-07-23')]
(Background on this error at: https://sqlalche.me/e/20/dbapi)
2024-10-16 at 19:06 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'string'}
2024-10-16 at 19:06 | INFO | Запись Student успешно добавлена.
2024-10-16 at 19:07 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-16 at 19:07 | INFO | Запись Student успешно добавлена.
2024-10-16 at 19:07 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-16 at 19:07 | INFO | Запись Student успешно добавлена.
2024-10-16 at 23:57 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-16 at 23:57 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:01 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:01 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:01 | INFO | Поиск User с ID: 805550691
2024-10-17 at 00:01 | INFO | Запись с ID 805550691 найдена.
2024-10-17 at 00:03 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:03 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:03 | INFO | Поиск User с ID: 805550691
2024-10-17 at 00:03 | INFO | Запись с ID 805550691 найдена.
2024-10-17 at 00:04 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:04 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:04 | INFO | Поиск User с ID: 805550691
2024-10-17 at 00:04 | INFO | Запись с ID 805550691 найдена.
2024-10-17 at 00:05 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:05 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:05 | INFO | Поиск User с ID: 805550691
2024-10-17 at 00:05 | INFO | Запись с ID 805550691 найдена.
2024-10-17 at 00:06 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:06 | INFO | Запись Student успешно добавлена.
2024-10-17 at 00:06 | INFO | Поиск User с ID: 805550691
2024-10-17 at 00:06 | INFO | Запись с ID 805550691 найдена.
2024-10-17 at 00:09 | INFO | Добавление записи Student с параметрами: {'user_id': 805550691, 'group': 'ЭФБО-07-23'}
2024-10-17 at 00:09 | INFO | Запись Student успешно добавлена.
